product_name,product_views,add_to_carts,purchases,total_revenue
Google Men's  Zip Hoodie,7711,1983,944,47636.27
26 oz Double Wall Insulated Bottle,4604,1437,790,44454.49
Google 22 oz Water Bottle,2154,1913,1583,42995.04
Leatherette Journal,2103,738,600,38563.46
Google Sunglasses,5566,3490,2756,35490.32
Google Metallic Notebook Set,1884,814,566,28846.6
Google Men's 100% Cotton Short Sleeve Hero Tee Black,4660,2111,1448,28047.61
Recycled Paper Journal Set,826,651,864,27918.17
Google Men's 100% Cotton Short Sleeve Hero Tee White,12626,4696,1544,27856.02
Google Hard Cover Journal,682,226,220,25432.67
Sport Bag,1806,745,602,23441.41
Google 17oz Stainless Steel Sport Bottle,2367,768,446,23301.67
Waterproof Backpack,7778,780,266,19379.84
YouTube Leatherette Notebook Combo,3847,1300,494,18754.46
Google Twill Cap,4037,1507,810,18445.83
Google Women's Fleece Hoodie,2471,768,504,18208.36
Engraved Ceramic Google Mug,2840,1259,808,17791.33
Google Rucksack,6002,602,250,17643.7
BLM Sweatshirt,249,767,820,17343.06
Google Baby Essentials Set,843,611,456,17341.74
Maze Pen,1760,999,658,15604
Google Spiral Journal with Pen,138,139,168,15424.25
Red Spiral Google Notebook,989,335,290,14791.42
Google Alpine Style Backpack,8038,881,198,14451.94
Spiral Notebook and Pen Set,1224,369,330,14411.85
YouTube Hard Cover Journal,1020,181,98,14379.76
YouTube Twill Cap,3700,1314,428,13919.59
Google Water Resistant Bluetooth Speaker,2125,554,228,13855.91
Google Bluetooth Headphones,1263,245,134,13689.12
Red Shine 15 oz Mug,2742,1270,726,13641.7
Google Canvas Tote Natural/Navy,1863,621,450,13511.49
Google Men's 100% Cotton Short Sleeve Hero Tee Navy,3523,1756,1128,13411.78
20 oz Stainless Steel Insulated Tumbler,2585,725,352,12652.26
Google Laptop Backpack,4725,464,200,12542.01
Google Laptop and Cell Phone Stickers,6307,3474,1590,12409.09
Collapsible Shopping Bag,1494,581,392,12038.27
Google Men's Watershed Full Zip Hoodie Grey,2943,653,288,11785.46
YouTube Men's Fleece Hoodie Black,669,610,346,11526.52
Google Men's 100% Cotton Short Sleeve Hero Tee Red,1757,845,742,10432.54
Google 5-Panel Cap,588,90,74,10380.07
Google Tube Power Bank,1714,297,184,10208.47
Google Tri-blend Hoodie Grey,2245,557,366,10160.33
Google Power Bank,2187,249,166,9785.68
Google Men's Heavyweight Long Sleeve Hero Tee Navy,320,128,60,9585.21
Galaxy Screen Cleaning Cloth,805,449,342,9495.82
Windup Android,2742,1202,624,9434.12
Badge Holder,1511,810,612,9077.63
Google Men's Quilted Insulated Vest Black,1495,438,276,9026.04
Google Kick Ball,1539,662,552,8868.35
1 oz Hand Sanitizer,999,466,414,8648.88
24 oz YouTube Sergeant Stripe Bottle,2094,726,360,8550.02
Reusable Shopping Bag,740,343,288,8496.6
Google Men's Performance Full Zip Jacket Black,2158,347,188,8454.77
Google Men's Vintage Badge Tee Black,3071,1461,772,8336.06
Ballpoint Stick Pen 4 Pack,208,165,384,8279.64
Foam Can and Bottle Cooler,1086,600,620,8269.36
Compact Bluetooth Speaker,766,155,74,8099.01
Google Men's Lightweight Microfleece Jacket Black,1768,447,226,8019.96
Google Women's Short Sleeve Hero Tee White,2692,1178,586,8013.98
Recycled Mouse Pad,2199,1264,704,7938.07
Google 25 oz Red Stainless Steel Bottle,288,108,114,7668.78
Google Stylus Pen w/ LED Light,1576,499,276,7535.33
Ballpoint LED Light Pen,796,388,300,7088.79
Google Men's Bike Short Sleeve Tee Charcoal,137,297,568,7057.96
Pen Pencil & Highlighter Set,1655,595,362,7020.37
Google 17 oz Double Wall Stainless Steel Insulated Bottle,429,156,116,6995.42
Four Color Retractable Pen,855,490,404,6586.5
Google Device Stand,871,249,312,6502.93
YouTube Men's Short Sleeve Hero Tee Charcoal,2361,1081,474,6423.95
Google Lunch Bag,1476,398,218,6416.2
Google Men's Pullover Hoodie Grey,1867,491,248,6351.01
Google Men's Long Sleeve Raglan Ocean Blue,2177,884,422,6338.07
Color Changing Grip Pen,428,240,366,6264.25
Metal Earbuds with Small Zipper Case,1393,400,180,6208.86
Google Women's Quilted Insulated Vest Black,461,159,146,6171.6
Ballpoint Pen Blue,336,209,314,6152.34
Electronics Accessory Pouch,2211,518,318,6118.01
Android Twill Cap,444,130,90,6056.67
Google Men's Quilted Insulated Vest Battleship Grey,378,192,182,5961.99
Google Women's Lightweight Microfleece Jacket,911,240,180,5810.66
Android Rise 14 oz Mug,2376,910,438,5781
Android 17oz Stainless Steel Sport Bottle,1059,275,176,5582.52
Google G Noise-reducing Bluetooth Headphones,2473,307,70,5402.44
Rocket Flashlight,1024,270,230,5377.86
YouTube Women's Fleece Hoodie Black,178,145,188,5359.82
YouTube Custom Decals,6067,2541,692,5259.85
23 oz Wide Mouth Sport Bottle,814,324,204,5254.22
Rubber Grip Ballpoint Pen 4 Pack,840,491,328,5227.83
Google Men's Performance 1/4 Zip Pullover Heather/Black,524,132,104,5078.56
25L Classic Rucksack,2561,265,100,5005.64
22 oz YouTube Bottle Infuser,2819,793,226,4913.93
SPF-15 Slim & Slender Lip Balm,579,294,234,4839.09
Gift Card - $25.00,814,390,312,4810.83
Google Men's Short Sleeve Hero Tee Charcoal,335,306,425,4751.94
Google Men's Short Sleeve Badge Tee Charcoal,453,296,433,4745.39
Android Men's  Zip Hoodie,1676,377,160,4670.02
Google Insulated Stainless Steel Bottle,1682,354,176,4581.08
Google Infant Zip Hood Pink,728,278,158,4558.4
Google Ballpoint Pen Black,521,320,244,4502.77
Compact Selfie Stick,911,311,222,4459.29
Google Tote Bag,980,251,138,4444.75
Google Blackout Cap,791,188,200,4434.87
YouTube Men's Short Sleeve Hero Tee Black,4056,1542,431,4419.74
Google Infuser-Top Water Bottle,1000,224,96,4375.02
Android 24 oz Contigo Bottle,779,232,152,4363.85
Google Laptop Tech Backpack,2014,213,94,4219.48
Google Men's Short Sleeve Performance Badge Tee Black,709,339,298,4122.96
Google Zipper-front Sports Bag,800,299,150,4026.05
22 oz Android Bottle,1014,458,374,3988.43
Google Women's Short Sleeve Hero Tee Black,1193,564,268,3874.18
Google Infant Zip Hood Royal Blue,704,268,164,3793.27
Google Men's Short Sleeve Hero Tee Heather,1376,480,291,3775.67
8 pc Android Sticker Sheet,1254,700,450,3771.8
Insulated Bottle,894,202,154,3697.43
Google Pocket Bluetooth Speaker,625,133,92,3676.66
Google Women's Yoga Jacket Black,618,153,84,3574.82
Google Trucker Hat,1237,310,184,3525.9
